,PassengerId,Survived
0,892,1
1,893,1
2,894,1
3,895,1
4,896,0
5,897,1
6,898,1
7,899,1
8,900,1
9,901,0
10,902,1
11,903,1
12,904,1
13,905,1
14,906,1
15,907,0
16,908,1
17,909,1
18,910,0
19,911,1
20,912,1
21,913,0
22,914,1
23,915,1
24,916,1
25,917,1
26,918,1
27,919,1
28,920,1
29,921,1
30,922,1
31,923,1
32,924,1
33,925,0
34,926,1
35,927,1
36,928,0
37,929,0
38,930,1
39,931,1
40,932,1
41,933,1
42,934,1
43,935,1
44,936,1
45,937,1
46,938,1
47,939,0
48,940,1
49,941,1
50,942,1
51,943,1
52,944,0
53,945,1
54,946,1
55,947,0
56,948,1
57,949,1
58,950,1
59,951,1
60,952,1
61,953,1
62,954,1
63,955,0
64,956,1
65,957,1
66,958,0
67,959,1
68,960,1
69,961,1
70,962,0
71,963,1
72,964,0
73,965,1
74,966,1
75,967,1
76,968,1
77,969,1
78,970,1
79,971,0
80,972,0
81,973,1
82,974,1
83,975,1
84,976,1
85,977,1
86,978,0
87,979,1
88,980,0
89,981,0
90,982,0
91,983,1
92,984,0
93,985,1
94,986,1
95,987,1
96,988,1
97,989,1
98,990,0
99,991,1
100,992,1
101,993,1
102,994,0
103,995,1
104,996,0
105,997,1
106,998,0
107,999,0
108,1000,1
109,1001,1
110,1002,1
111,1003,0
112,1004,1
113,1005,0
114,1006,1
115,1007,1
116,1008,1
117,1009,0
118,1010,1
119,1011,0
120,1012,1
121,1013,0
122,1014,1
123,1015,1
124,1016,0
125,1017,1
126,1018,1
127,1019,0
128,1020,1
129,1021,1
130,1022,1
131,1023,1
132,1024,0
133,1025,1
134,1026,1
135,1027,1
136,1028,1
137,1029,1
138,1030,0
139,1031,0
140,1032,0
141,1033,1
142,1034,1
143,1035,1
144,1036,1
145,1037,1
146,1038,1
147,1039,1
148,1040,1
149,1041,1
150,1042,1
151,1043,1
152,1044,1
153,1045,1
154,1046,0
155,1047,1
156,1048,1
157,1049,0
158,1050,1
159,1051,0
160,1052,0
161,1053,0
162,1054,0
163,1055,1
164,1056,1
165,1057,0
166,1058,1
167,1059,1
168,1060,1
169,1061,0
170,1062,1
171,1063,1
172,1064,0
173,1065,1
174,1066,1
175,1067,1
